name,code,address,state,off_ph_no,off_ph_no_2,fax_no,email,website,gender,res_type,aff_type,is_icse,is_isc,is_cve,princi_name
The Noble School,AP069,"80, Jubilee Hills Road No. 9 Hyderabad-500 033",ANDHRA PRADESH,04023520077,04066490315,04023520077,nobleschool@yahoo.com,ap069cisce.org,Co-ed.,D/R,Provisional,True,False,False,Mohd. Saleem
Chaitanya Vidyalaya,AP071,"1 - 2 - 594, Domalguda Hyderabad-500 029",ANDHRA PRADESH,04065502579,04027631105,,chaitanyavidyalaya@gmail.com,ap071cisce.org,Co-ed.,Day,Permanent,True,False,False,C. Kiran Singh
Siva Sivani Public School,AP072,"S.no.34(p), 66(p&90)(p) Sector IX Visakhapatnam-530 032",ANDHRA PRADESH,08912550192,,08912550193,sivasivanipublicschool@yahoo.com,ap072cisce.org,Co-ed.,Day,Permanent,True,False,False,Usha S. Sampathy
Vikasa Vidya Vanam School,AP076,Poranki Krishna-521 137,ANDHRA PRADESH,08662582494,09493382494,,head@ap076cisce.org,ap076cisce.org,Co-ed.,Day,Permanent,True,True,False,Vijaya Lakshmi Maganti
Kalpa School,AP077,"8 - 2 - 589, Road No. 8 Banjara Hills Hyderabad-500 034",ANDHRA PRADESH,04023350164,04023350020,04023352602,head@ap077cisce.org,ap077cisce.org,Co-ed.,Day,Permanent,True,False,False,Ayesha Jeelani
St. Ann's School,AP078,Ajitsingh Nagar Vijayawada Krishna-520 015,ANDHRA PRADESH,08662400884,08662400497,08662400885,stannsvjy@gmail.com,ap078cisce.org,Co-ed.,Day,Permanent,True,False,False,P. Amala Pushpam
Emmaus -swiss Referral Hospital School,AP079,P.o. Palamaner L.S. Farm Chittoor-517 408,ANDHRA PRADESH,9885011660,08579252440,,head@ap079cisce.org,ap079cisce.org,Co-ed.,Day,Permanent,True,False,False,Kathleen Jacob
Bethany School,AP080,D.no. 10 - 50 - 29 Waltair Main Road Visakhapatnam-530 002,ANDHRA PRADESH,08912706121,08912567722,08912567722,head@ap080cisce.org,ap080cisce.org,Co-ed.,Day,Permanent,True,False,False,Evangeline Ranjan
Sri Sai Public School,AP081,Muthangi P.o. Balaji Nagar Colony Hyderabad Medak-502 300,ANDHRA PRADESH,08455242525,08455242507,,srisaipublicschool@gmail.com,ap081cisce.org,Co-ed.,,Permanent,True,False,False,Lucy Rani
Abhyasa Residential Public School,AP082,", Toopran Medak-502 334",ANDHRA PRADESH,08454235978,,08454235978,head@ap082cisce.org,ap082cisce.org,Co-ed.,,Permanent,True,True,False,Vinayak Kalletla
St. Theresa High School,AP083,Arul Colony E.C.I.L. P. O. Hyderabad-500 062,ANDHRA PRADESH,04027124329,,04027124329,sttheresahyd@gmail.com,ap083cisce.org,Co-ed.,Day,Permanent,True,False,False,Johncy Johncy
De Paul School,AP084,Sector VIII Ukkunagaram Visakhapatnam-530 032,ANDHRA PRADESH,08912510928,08912708271,08912510928,head@ap084cisce.org,ap084cisce.org,Co-ed.,Day,Permanent,True,False,False,Biju Scaria
Princess Esin Girls' School,AP086,Purani Haveli Hyderabad-500 002,ANDHRA PRADESH,04024574861,04065943549,04024574861,head@AP086cisce.org,ap086cisce.org,Girls,Day,Permanent,True,False,False,Anwar Jani
Gitanjali  Devshala,AP087,"154, Sappers Lines Secunderabad Hyderabad-500 003",ANDHRA PRADESH,04027908260,,04032218427,head@ap087cisce.org,ap087cisce.org,Co-ed.,Day,Provisional,True,False,False,Madhvi Chandra
Nasr School Boys,AP088,"1 - 72 - 4 / 4, Survey No. 47 Gachibowli Serilingampally Mandal Hyderabad-500 032",ANDHRA PRADESH,04023001248,04023001833,,boys@nasrschool.in,ap088cisce.org,Boys,Day,Permanent,True,False,False,Mir Hafeezuddin Ahmed
Sri Aurobindo International School,AP089,"2 - 2 - 4 / 1, Osmania University Road Hyderabad Hyderabad-500 044",ANDHRA PRADESH,04027098515,04027071012,,head@ap089cisce.org,ap089cisce.org,Co-ed.,Day,Permanent,True,True,False,A. Chhalamayi Reddy
St. Francis School,AP090,P O P.M Palam Madhura Wada Visakhapatnam-530 041,ANDHRA PRADESH,08912781481,08912718985,08912782231,sfstormadhurawada@yahoo.com,ap090cisce.org,Co-ed.,Day,Permanent,True,False,False,U. J Biju Tor
Sree Simhapuri Day School,AP091,Opp. Telugu Ganga Quarters Vijayalakshmi Nagar Nellore-524 004,ANDHRA PRADESH,9866431779,9989929096,,simhapuridayschoolicse@gmail.com,ap091cisce.org,Co-ed.,Day,Provisional,True,False,False,Y. Mohan Raju
Al Madrasa Tus Saifiya Tul Burhaniyah,AP092,"3 - 18 - 73 / A, Lalamiya Basti Pedda Kamela, R.t.c. Colony Secunderabad Hyderabad-500 015",ANDHRA PRADESH,04040146672,,,msbsec@yahoo.com,ap092cisce.org,Co-ed.,Day,Provisional,True,False,False,Gita Francis
St. Joseph's School,AP094,"16 - 2 - 741, Asmangadh Palace Malakpet Hyderabad-500 036",ANDHRA PRADESH,04024064196,04024066213,04024066213,sjpsagpalace@yahoo.com,ap094cisce.org,Co-ed.,Day,Permanent,True,False,False,U. A. Sundari
St. Joseph's School,AP095,"H.No. 8 - 11 Ravindranagar Colony, Street No. 8 Habsiguda Hyderabad-500 007",ANDHRA PRADESH,04027175833,04027175835,04027175835,sjpshabsiguda@yahoo.com,ap095cisce.org,Co-ed.,Day,Permanent,True,False,False,Teresa U
Mrs. Mariadas U.P. School,AP096,Annamma Colony Sriharipuram Visakhapatnam-530 011,ANDHRA PRADESH,09247962410,099618807086,08912531931,mariadasschool@gmail.com,ap096cisce.org,Co-ed.,Day,Provisional,True,False,False,A. Nirmala
Ramadevi Public School,AP097,"Off N.h. -9, Near Ramoji Film City Hayatnagar Hyderabad-501 512",ANDHRA PRADESH,9989990738,7670820884,,head@ap097cisce.org,ap097cisce.org,Co-ed.,Day,Permanent,True,True,False,Maruthi Ramprasad Pelluri
Sujatha School,AP098,(via) C.B.I.T. Himayathnagar (Village & Post) Moinabad Mandal Rangareddy-500 075,ANDHRA PRADESH,08413235181,08413235180,,sujathaschool@yahoo.com,ap098cisce.org,Co-ed.,D/R,Permanent,True,True,False,E. Sunitha Paul
Heritage Valley The Indian School,AP099,Papireddyguda Keshampet Shadnagar Mahabubnagar-509 216,ANDHRA PRADESH,7993978003,09246358216,,head@ap099cisce.org,ap099cisce.org,Co-ed.,Day,Permanent,True,True,False,Reji Mathew
The Hyderabad Public School,AP100,Opp. Rims Putlampalle Cuddapah Kadapa-516 002,ANDHRA PRADESH,08562200444,08562200555,,head@ap100cisce.org,ap100cisce.org,Co-ed.,D/R,Permanent,True,False,False,Srinivasa Murthy Utpala
The Future Kid's School,AP101,Plot No.2-95 survey No.284 Puppalguda Hyderabad Rangareddy-500 089,ANDHRA PRADESH,04023545045,7569119742,04023545629,shailajaraom@gmail.com,ap101cisce.org,Co-ed.,Day,Permanent,True,True,False,Mushunuri Shailaja Rao
The Peepal Grove School,AP102,P.o. Gongivaripalli Sadum Mandal Chittoor-517 123,ANDHRA PRADESH,08583202200,9701085309,,head@ap102cisce.org,ap102cisce.org,Co-ed.,,Permanent,True,True,False,Sunanda Ali
Sreenidhi International School,AP103,"Survey Nos: 23-27, Aziz Nagar Village Monabad Mandal Rangareddy-500 075",ANDHRA PRADESH,04023351022,04023351023,04027640394,staff@ap103cisce.org,ap103cisce.org,Co-ed.,D/R,Permanent,True,True,False,V. Srinivasan
The Future Kid's School,AP104,"88 - 1 - 26, Beside O.n.g.c. Base Complex Kavalagoyya Road Rajahmundry East Godavari-533 107",ANDHRA PRADESH,08832466499,08832466699,08832434484,head@ap104cisce.org,ap104cisce.org,Co-ed.,Day,Permanent,True,True,False,Ravindranath Rayudu
Indian Blossoms International School,AP105,Kothapatnam Road Near Koppole Ongole Prakasam-523 286,ANDHRA PRADESH,7660005778,7660005770,,head@ap105cisce.org,ap105cisce.org,Co-ed.,Day,Provisional,True,False,False,Rlv Ramesh
Sacred Heart Convent School,AP106,"9-102/1, Chenna Reddy Layout Peerzadiguda Hyderabad Rangareddy-500098",ANDHRA PRADESH,09505976270,,,sacredheartconventschool@gmail.com,ap106cisce.org,Co-ed.,Day,Provisional,True,False,False,M. Thulchisveerkomary
St. Ann's High School,AP107,Pet Basheerabad Kompally Rangareddy-500067,ANDHRA PRADESH,04027165260,,04027165260,head@ap107cisce.org,ap107cisce.org,Co-ed.,Day,Provisional,True,False,False,Cicily Mathew
St. Ann's  E. M  High School,AP108,Nellipaka East Godavari-507129,ANDHRA PRADESH,09494895717,,08743231721,vincy.sr@gmail.com,ap108cisce.org,Co-ed.,Day,Provisional,True,False,False,Vincy Panthalany
De Paul (E M) School,AP109,Yerravaram -7 (Via) Chuchukonda Visakhapatnam-531 003,ANDHRA PRADESH,9493604621,9493604931,08912510928,depgsprincipal@gmail.com,ap109cisce.org,Co-ed.,Day,Provisional,True,False,False,Vincent Edakaroot Joseph
Don Bosco School,AR001,Bosco Nagar Khonsa Tirap-786 630,ARUNACHAL PRADESH,9612481299,,,staff@ar001cisce.org,ar001cisce.org,Co-ed.,,Provisional,True,False,False,Devassy Devassy P.o.
Light Of The World School,AR002,Miao P.O. Changlang-792 122,ARUNACHAL PRADESH,03807223282,,,roseabiliu@gmail.com,ar002cisce.org,Co-ed.,Day,Provisional,True,True,False,Ansamma Varghese
Newman School,AR003,"Neotan, Miao Namphai - 1 Changlang-792 122",ARUNACHAL PRADESH,03807200099,,,nsneotan@gmail.com,ar003cisce.org,Co-ed.,D/R,Provisional,True,False,False,Nicklavose P. V.
St. George's School,AR004,Deomali Tirap-786 629,ARUNACHAL PRADESH,,,,,ar004cisce.org,Co-ed.,,Provisional,True,False,False,Martha Telen
Holy Rosary School,AR005,1 Mile Laktong Changlang-792120,ARUNACHAL PRADESH,03808223578,9774131543,,holyrosarychanglang@gmail.com,ar005cisce.org,Co-ed.,Day,Provisional,True,False,False,Valiria Ekka
Christ King School,AR006,Khonsa Khonsa Tirap-792130,ARUNACHAL PRADESH,03786223602,,,civijose@gmail.com,ar006cisce.org,Co-ed.,Day,Provisional,True,False,False,M.u. Joseph
Don Bosco School,AR007,P.O. : Longding Longding-792131,ARUNACHAL PRADESH,09402784938,,,joshk009@gmail.com,ar007cisce.org,Co-ed.,Day,Provisional,True,False,False,Mathew C.j.
Don Bosco School,AR008,Nonpu Doimukh Papum Pare-791112,ARUNACHAL PRADESH,03602001569,03602660028,,sebastianthuruthiyil@yahoo.co.in,ar008cisce.org,Co-ed.,Day,Provisional,True,False,False,Mercy Mathew
Krick & Boury Memorial School,AR009,Post Box No. 4 Tribal Colony Lohit-792001,ARUNACHAL PRADESH,08974385171,,,dibyalakra@yahoo.com,ar009cisce.org,Co-ed.,Day,Provisional,True,False,False,Dibya Lakra
Don Bosco School,AR010,Mebo P.o. East Siang-791104,ARUNACHAL PRADESH,08014792642,08014541437,,francistj@rediffmail.com,ar010cisce.org,Co-ed.,Day,Provisional,True,False,False,Tius Varghese
Don Bosco School,AR011,Galenja Bordumsa Changlang-792 056,ARUNACHAL PRADESH,+919402668391,+918732810081,,josekmtsdb@gmail.com,ar011cisce.org,Co-ed.,Day,Provisional,True,False,False,Athishu Nikhini
St. Jude School,AR012,P.o. Diyun Changlang-792103,ARUNACHAL PRADESH,08132861285,,,stjudediyun@gmail.com,ar012cisce.org,Co-ed.,Day,Provisional,True,False,False,Aley Kutty E.a.
Carmel School,AS001,Digboi Upper Assam Tinsukia-786 171,ASSAM,03751264279,,,carmelschooldigboi@gmail.com,as001cisce.org,Co-ed.,Day,Provisional,True,False,False,Matilda D'souza A.c.
Carmel School,AS003,Cinnamara P. O. Jorhat-785 008,ASSAM,03762360891,,,head@as003cisce.org,as003cisce.org,Co-ed.,Day,Permanent,True,True,False,Maria Monica A.c.
The Assam Valley School,AS004,P.o. &T.o. Balipara Sonitpur-784 101,ASSAM,09678074320,09678074321,,head@as004cisce.org,as004cisce.org,Co-ed.,,Permanent,True,True,False,Sonya Ghandhy Mehta
Don Bosco School,AS005,Sashipur Darranga Mela Baksa Nalbari-781 360,ASSAM,03624284390,,,donboscoschoolsashipur@yahoo.com,as005cisce.org,Co-ed.,Day,Permanent,True,True,False,G. Syiemlieh
Sanskriti The Gurukul,AS006,"Village Gugh, Ahomgaon P.o. Garchuk Guwahati Kamrup-781 035",ASSAM,7399044071,7399044071,,head@as006cisce.org,as006cisce.org,Co-ed.,,Permanent,True,True,False,Ajanita Hazarika
Shiksha The Gurukul,AS008,"N.h. 37, Chotahapjan P.o. Borhapjan Tinsukia-786 150",ASSAM,03742910263,,,head@as008cisce.org,as008cisce.org,Co-ed.,D/R,Permanent,True,True,False,Arpita Mutsuddi
Mount Assisi School,BI001,"13, Mahatma Gandhi Path Bhagalpur-812 001",BIHAR,09661769535,9570550883,,mascobgp@gmail.com,bi001cisce.org,Co-ed.,Day,Permanent,True,True,False,Jose Thekkel Tor
Carmel School,BI002,Post Box No. 2 Barari Road Bhagalpur-812 003,BIHAR,09939389167,09472526178,09472526178,head@bi002cisce.org,bi002cisce.org,Girls,Day,Permanent,True,True,False,M. Lavita A.c.
North Point Children's School,BI003,P.o. Ramna Muzaffarpur-842 002,BIHAR,06212270275,,06212240076,head@bi003cisce.org,bi003cisce.org,Co-ed.,Day,Provisional,True,True,False,Monidipa Mitra
St. Joseph's Convent High School,BI004,P.O. Bankipore Patna-800 004,BIHAR,06122302620,06122301363,,sjcpatna@gmail.com,bi004cisce.org,Girls,Day,Provisional,True,True,False,Lucina Lucina C.j.
Don Bosco Academy,BI005,P.o. Digha Ghat Patna-800 011,BIHAR,06122560212,06123294212,06122560212,head@bi005cisce.org,bi005cisce.org,Co-ed.,Day,Permanent,True,True,False,Mary Alphonsa
St. Paul's School,BI008,Main Road Opp. G.D. College Begusarai-851 101,BIHAR,06243242310,06243242360,06243242310,stpaulsschoolbegusarai@gmail.com,bi008cisce.org,Co-ed.,Day,Permanent,True,True,False,Anushiya Rani Let
St. Paul's High School,BI009,Fair Field Colony Digha Patna-800 011,BIHAR,9608294714,06122260934,06122260934,head@bi009cisce.org,bi009cisce.org,Co-ed.,Day,Permanent,True,True,False,Anand Prakash
Rose Bud School,BI010,Shree Krishna Puri West Patna-800 013,BIHAR,06122260695,,,head@ap071cisce.org,bi010cisce.org,Co-ed.,Day,Provisional,True,False,False,M. Rizvi
St. Joseph's School,BI011,T.N.B. College P.O. Bhagalpur-812 007,BIHAR,06412500835,06412500664,06412500664,head@bi011cisce.org,bi011cisce.org,Co-ed.,Day,Permanent,True,True,False,Amal Raj
