name,state,address,city,city_location,latitude,longitude
ST. JOSEPH'S HIGH SCHOOL,ANDHRA PRADESH,CONVENT ROAD SRIKAKULAM-532 001,KULGAM,"(33.64, 75.02)",33.703562,75.001181
NAVA JEEVAN PUBLIC SCHOOL,ANDHRA PRADESH,CHARITY CENTER BHIMLI P.O. BOX NO. 3 DORA THOTA VISAKHAPATNAM-531 163,VISHAKHAPATNAM,"(17.7042, 83.2978)",17.655391,83.206806
SHANTINIKETAN ENGLISH MEDIUM SCHOOL,ANDHRA PRADESH,"VIDYA NAGAR, KUTAGULLA KADIRI ANANTAPUR-515 541",ANANTAPUR,"(14.68, 77.599)",14.768692,77.665608
MUKARRAM JAH SCHOOL,ANDHRA PRADESH,PURANI HAVELI HYDERABAD-500 002,HYDERABAD,"(17.385, 78.4867)",17.401663,78.476223
QUEEN MARY'S SCHOOL,ANDHRA PRADESH,SUPER BAZAR ROAD PRODATUR KADAPA-516 360,INGRAJ BAZAR,"(25.0044, 88.1458)",25.021152,88.136052
FORT CATHOLIC GIRLS' SCHOOL,ANDHRA PRADESH,OLD POST OFFICE FORT VISAKHAPATNAM-530 001,VISHAKHAPATNAM,"(17.7042, 83.2978)",17.709538,83.281046
SAMARITAN SCHOOL,ANDHRA PRADESH,"37 / 93 / 56, MATHURA NAGAR R.K. PURAM SECUNDERABAD HYDERABAD-500 094",HYDERABAD,"(17.385, 78.4867)",17.290552,78.426766
ST. JOSEPH'S HIGH SCHOOL,ANDHRA PRADESH,YENDAPALLIVALSA ARAKU R.S. VISAKHAPATNAM-531 151,VISHAKHAPATNAM,"(17.7042, 83.2978)",17.671652,83.390648
INTERNATIONAL SCHOOL,ANDHRA PRADESH,"8-1-300 /1, SHAIKPET TOWLI CHOWKI HYDERABAD-500 008",HYDERABAD,"(17.385, 78.4867)",17.343916,78.492289
ST. MARY'S PUBLIC SCHOOL,ANDHRA PRADESH,SHANTHI NAGAR KAVALI NELLORE-524 201,NELLORE,"(14.45, 79.99)",14.42332,79.946755
THE NOBLE SCHOOL,ANDHRA PRADESH,"80, JUBILEE HILLS ROAD NO. 9 HYDERABAD-500 033",HYDERABAD,"(17.385, 78.4867)",17.408664,78.414513
CHAITANYA VIDYALAYA,ANDHRA PRADESH,"1 - 2 - 594, DOMALGUDA HYDERABAD-500 029",HYDERABAD,"(17.385, 78.4867)",17.373503,78.412341
SIVA SIVANI PUBLIC SCHOOL,ANDHRA PRADESH,"S.NO.34(P), 66(P&90)(P) SECTOR IX VISAKHAPATNAM-530 032",VISHAKHAPATNAM,"(17.7042, 83.2978)",17.612847,83.388871
VIKASA VIDYA VANAM SCHOOL,ANDHRA PRADESH,PORANKI KRISHNA-521 137,PORANKI,"(16.4743, 80.7128)",16.402723,80.772959
KALPA SCHOOL,ANDHRA PRADESH,"8 - 2 - 589, ROAD NO. 8 BANJARA HILLS HYDERABAD-500 034",HYDERABAD,"(17.385, 78.4867)",17.407471,78.417533
ST. ANN'S SCHOOL,ANDHRA PRADESH,AJITSINGH NAGAR VIJAYAWADA KRISHNA-520 015,VIJAYAWADA,"(16.5193, 80.6305)",16.468754,80.6677
EMMAUS -SWISS REFERRAL HOSPITAL SCHOOL,ANDHRA PRADESH,P.O. PALAMANER L.S. FARM CHITTOOR-517 408,CHITTOOR,"(13.216, 79.098)",13.270873,79.018646
BETHANY SCHOOL,ANDHRA PRADESH,D.NO. 10 - 50 - 29 WALTAIR MAIN ROAD VISAKHAPATNAM-530 002,VISHAKHAPATNAM,"(17.7042, 83.2978)",17.785221,83.199916
SRI SAI PUBLIC SCHOOL,ANDHRA PRADESH,MUTHANGI P.O. BALAJI NAGAR COLONY HYDERABAD MEDAK-502 300,HYDERABAD,"(17.385, 78.4867)",17.482564,78.51347
ABHYASA RESIDENTIAL PUBLIC SCHOOL,ANDHRA PRADESH,", TOOPRAN MEDAK-502 334",MEDAK,"(18.046, 78.263)",17.947209,78.303757
ST. THERESA HIGH SCHOOL,ANDHRA PRADESH,ARUL COLONY E.C.I.L. P. O. HYDERABAD-500 062,HYDERABAD,"(17.385, 78.4867)",17.373472,78.486671
DE PAUL SCHOOL,ANDHRA PRADESH,SECTOR VIII UKKUNAGARAM VISAKHAPATNAM-530 032,AGARAM,"(10.4433, 77.9485)",10.521167,78.013811
PRINCESS ESIN GIRLS' SCHOOL,ANDHRA PRADESH,PURANI HAVELI HYDERABAD-500 002,HYDERABAD,"(17.385, 78.4867)",17.483431,78.465941
GITANJALI  DEVSHALA,ANDHRA PRADESH,"154, SAPPERS LINES SECUNDERABAD HYDERABAD-500 003",HYDERABAD,"(17.385, 78.4867)",17.356362,78.502351
NASR SCHOOL BOYS,ANDHRA PRADESH,"1 - 72 - 4 / 4, SURVEY NO. 47 GACHIBOWLI SERILINGAMPALLY MANDAL HYDERABAD-500 032",LINGAMPALLI,"(17.4865, 78.317)",17.456826,78.291035
SRI AUROBINDO INTERNATIONAL SCHOOL,ANDHRA PRADESH,"2 - 2 - 4 / 1, OSMANIA UNIVERSITY ROAD HYDERABAD HYDERABAD-500 044",HYDERABAD,"(17.385, 78.4867)",17.359501,78.576375
ST. FRANCIS SCHOOL,ANDHRA PRADESH,P O P.M PALAM MADHURA WADA VISAKHAPATNAM-530 041,MADHURA,"(26.3388, 87.1027)",26.318821,87.008181
SREE SIMHAPURI DAY SCHOOL,ANDHRA PRADESH,OPP. TELUGU GANGA QUARTERS VIJAYALAKSHMI NAGAR NELLORE-524 004,NAWA NAGAR NIZAMAT,"(26.2895, 84.9351)",26.302164,84.852184
AL MADRASA TUS SAIFIYA TUL BURHANIYAH,ANDHRA PRADESH,"3 - 18 - 73 / A, LALAMIYA BASTI PEDDA KAMELA, R.T.C. COLONY SECUNDERABAD HYDERABAD-500 015",SECUNDERABAD,"(17.4399, 78.4983)",17.435456,78.404202
ST. JOSEPH'S SCHOOL,ANDHRA PRADESH,"16 - 2 - 741, ASMANGADH PALACE MALAKPET HYDERABAD-500 036",HYDERABAD,"(17.385, 78.4867)",17.295754,78.514566
ST. JOSEPH'S SCHOOL,ANDHRA PRADESH,"H.NO. 8 - 11 RAVINDRANAGAR COLONY, STREET NO. 8 HABSIGUDA HYDERABAD-500 007",RAJENDRANAGAR,"(17.3198, 78.4031)",17.362986,78.425409
MRS. MARIADAS U.P. SCHOOL,ANDHRA PRADESH,ANNAMMA COLONY SRIHARIPURAM VISAKHAPATNAM-530 011,HARIPUR,"(26.258, 87.242)",26.296186,87.273408
RAMADEVI PUBLIC SCHOOL,ANDHRA PRADESH,"OFF N.H. -9, NEAR RAMOJI FILM CITY HAYATNAGAR HYDERABAD-501 512",HYDERABAD,"(17.385, 78.4867)",17.480922,78.460834
SUJATHA SCHOOL,ANDHRA PRADESH,(VIA) C.B.I.T. HIMAYATHNAGAR (VILLAGE & POST) MOINABAD MANDAL RANGAREDDY-500 075,SANGAREDDI,"(17.6294, 78.0917)",17.641448,78.004343
HERITAGE VALLEY THE INDIAN SCHOOL,ANDHRA PRADESH,PAPIREDDYGUDA KESHAMPET SHADNAGAR MAHABUBNAGAR-509 216,MAHBUBNAGAR,"(16.7488, 78.0035)",16.807088,78.038521
THE HYDERABAD PUBLIC SCHOOL,ANDHRA PRADESH,OPP. RIMS PUTLAMPALLE CUDDAPAH KADAPA-516 002,CUDDAPAH,"(14.47, 78.82)",14.424759,78.794887
THE FUTURE KID'S SCHOOL,ANDHRA PRADESH,PLOT NO.2-95 SURVEY NO.284 PUPPALGUDA HYDERABAD RANGAREDDY-500 089,HYDERABAD,"(17.385, 78.4867)",17.4324,78.452501
THE PEEPAL GROVE SCHOOL,ANDHRA PRADESH,P.O. GONGIVARIPALLI SADUM MANDAL CHITTOOR-517 123,CHITTOOR,"(13.216, 79.098)",13.125163,79.019653
SREENIDHI INTERNATIONAL SCHOOL,ANDHRA PRADESH,"SURVEY NOS: 23-27, AZIZ NAGAR VILLAGE MONABAD MANDAL RANGAREDDY-500 075",NAWA NAGAR NIZAMAT,"(26.2895, 84.9351)",26.334735,84.955732
THE FUTURE KID'S SCHOOL,ANDHRA PRADESH,"88 - 1 - 26, BESIDE O.N.G.C. BASE COMPLEX KAVALAGOYYA ROAD RAJAHMUNDRY EAST GODAVARI-533 107",RAJAHMUNDRY,"(16.98, 81.78)",16.999441,81.758373
INDIAN BLOSSOMS INTERNATIONAL SCHOOL,ANDHRA PRADESH,KOTHAPATNAM ROAD NEAR KOPPOLE ONGOLE PRAKASAM-523 286,KOTHAPET,"(19.3333, 79.4833)",19.277272,79.481769
SACRED HEART CONVENT SCHOOL,ANDHRA PRADESH,"9-102/1, CHENNA REDDY LAYOUT PEERZADIGUDA HYDERABAD RANGAREDDY-500098",HYDERABAD,"(17.385, 78.4867)",17.432479,78.549039
ST. ANN'S HIGH SCHOOL,ANDHRA PRADESH,PET BASHEERABAD KOMPALLY RANGAREDDY-500067,KOMPALLE,"(17.4993, 78.4583)",17.565838,78.429082
ST. ANN'S  E. M  HIGH SCHOOL,ANDHRA PRADESH,NELLIPAKA EAST GODAVARI-507129,NELLIPAKA,"(17.7679, 80.8567)",17.838241,80.951356
DE PAUL (E M) SCHOOL,ANDHRA PRADESH,YERRAVARAM -7 (VIA) CHUCHUKONDA VISAKHAPATNAM-531 003,ERRAVARAM,"(17.5458, 82.8433)",17.492192,82.876031
DON BOSCO SCHOOL,ARUNACHAL PRADESH,BOSCO NAGAR KHONSA TIRAP-786 630,AGAR,"(23.7118, 76.0157)",23.667491,76.095493
LIGHT OF THE WORLD SCHOOL,ARUNACHAL PRADESH,MIAO P.O. CHANGLANG-792 122,CHANDLA,"(25.0715, 80.1929)",25.098675,80.125196
NEWMAN SCHOOL,ARUNACHAL PRADESH,"NEOTAN, MIAO NAMPHAI - 1 CHANGLANG-792 122",CHANDLA,"(25.0715, 80.1929)",25.060566,80.210966
ST. GEORGE'S SCHOOL,ARUNACHAL PRADESH,DEOMALI TIRAP-786 629,DEO,"(24.6561, 84.4356)",24.626159,84.477733
HOLY ROSARY SCHOOL,ARUNACHAL PRADESH,1 MILE LAKTONG CHANGLANG-792120,CHANDLA,"(25.0715, 80.1929)",25.110508,80.216277
CHRIST KING SCHOOL,ARUNACHAL PRADESH,KHONSA KHONSA TIRAP-792130,LAKHO,"(25.4113, 86.1792)",25.390263,86.274335
DON BOSCO SCHOOL,ARUNACHAL PRADESH,P.O. : LONGDING LONGDING-792131,DHING,"(26.4679, 92.4734)",26.45378,92.446386
DON BOSCO SCHOOL,ARUNACHAL PRADESH,NONPU DOIMUKH PAPUM PARE-791112,PAREO,"(25.5582, 84.8017)",25.520475,84.881579
KRICK & BOURY MEMORIAL SCHOOL,ARUNACHAL PRADESH,POST BOX NO. 4 TRIBAL COLONY LOHIT-792001,NILOTHI,"(28.8167, 76.8667)",28.846222,76.966228
DON BOSCO SCHOOL,ARUNACHAL PRADESH,MEBO P.O. EAST SIANG-791104,TONSE EAST,"(13.3963, 74.7217)",13.491166,74.807272
DON BOSCO SCHOOL,ARUNACHAL PRADESH,GALENJA BORDUMSA CHANGLANG-792 056,CHANDLA,"(25.0715, 80.1929)",25.001486,80.19344
ST. JUDE SCHOOL,ARUNACHAL PRADESH,P.O. DIYUN CHANGLANG-792103,CHANDLA,"(25.0715, 80.1929)",25.015775,80.220454
CARMEL SCHOOL,ASSAM,DIGBOI UPPER ASSAM TINSUKIA-786 171,TINSUKIA,"(27.5, 95.367)",27.435995,95.387417
CARMEL SCHOOL,ASSAM,CINNAMARA P. O. JORHAT-785 008,JORHAT,"(26.75, 94.22)",26.84036,94.215751
THE ASSAM VALLEY SCHOOL,ASSAM,P.O. &T.O. BALIPARA SONITPUR-784 101,ALIPURA,"(25.1753, 79.3356)",25.172196,79.335025
DON BOSCO SCHOOL,ASSAM,SASHIPUR DARRANGA MELA BAKSA NALBARI-781 360,NALBARI,"(26.445, 91.44)",26.461466,91.39978
SANSKRITI THE GURUKUL,ASSAM,"VILLAGE GUGH, AHOMGAON P.O. GARCHUK GUWAHATI KAMRUP-781 035",GUWAHATI,"(26.1722, 91.7458)",26.179861,91.76083
SHIKSHA THE GURUKUL,ASSAM,"N.H. 37, CHOTAHAPJAN P.O. BORHAPJAN TINSUKIA-786 150",TINSUKIA,"(27.5, 95.367)",27.459145,95.439286
MOUNT ASSISI SCHOOL,BIHAR,"13, MAHATMA GANDHI PATH BHAGALPUR-812 001",BHAGALPUR,"(25.25, 87.0)",25.262856,86.939495
CARMEL SCHOOL,BIHAR,POST BOX NO. 2 BARARI ROAD BHAGALPUR-812 003,BHAGALPUR,"(25.25, 87.0)",25.308294,87.038658
NORTH POINT CHILDREN'S SCHOOL,BIHAR,P.O. RAMNA MUZAFFARPUR-842 002,MUZAFFARPUR,"(26.1225, 85.3906)",26.090247,85.393501
ST. JOSEPH'S CONVENT HIGH SCHOOL,BIHAR,P.O. BANKIPORE PATNA-800 004,PATNA,"(25.6, 85.1)",25.691953,85.012786
DON BOSCO ACADEMY,BIHAR,P.O. DIGHA GHAT PATNA-800 011,PATNA,"(25.6, 85.1)",25.606422,85.007386
ST. PAUL'S SCHOOL,BIHAR,MAIN ROAD OPP. G.D. COLLEGE BEGUSARAI-851 101,BEGUSARAI,"(25.42, 86.13)",25.458026,86.203553
ST. PAUL'S HIGH SCHOOL,BIHAR,FAIR FIELD COLONY DIGHA PATNA-800 011,PATNA,"(25.6, 85.1)",25.518511,85.039046
ROSE BUD SCHOOL,BIHAR,SHREE KRISHNA PURI WEST PATNA-800 013,PATNA,"(25.6, 85.1)",25.690672,85.004556
ST. JOSEPH'S SCHOOL,BIHAR,T.N.B. COLLEGE P.O. BHAGALPUR-812 007,BHAGALPUR,"(25.25, 87.0)",25.209596,87.098646
ST. PAUL'S ACADEMY,BIHAR,"M / 6, SHREE KRISHNA NAGAR PATNA-800 001",PATNA,"(25.6, 85.1)",25.696358,85.048049
GEMS ENGLISH SCHOOL,BIHAR,DEHRI-ON-SONE ROHTAS-821 307,DEHRI,"(24.91, 84.18)",24.975278,84.188512
ST. JOHN'S HIGH SCHOOL,BIHAR,EAST BORING CANAL ROAD PATNA-800 001,PATNA,"(25.6, 85.1)",25.622778,85.091767
INTERNATIONAL SCHOOL,BIHAR,BORING PATLIPUTRA ROAD ALPANA MARKET PATNA-800 013,ALIPURA,"(25.1753, 79.3356)",25.171266,79.347375
LOHIA NAGAR MOUNT CARMEL HIGH SCHOOL,BIHAR,"A / 14, KANKARBAGH COLONY PATNA-800 020",PATNA,"(25.6, 85.1)",25.679236,85.029634
ST. ALBERT'S HIGH SCHOOL,BIHAR,PATEL NAGAR PATEL NAGAR PATNA-800 023,NAGAR,"(27.4247, 77.0995)",27.472595,77.137727
CHRIST CHURCH HIGH SCHOOL,BIHAR,CONGRESS MAIDAN KADAM KUAN PATNA-800 003,PATNA,"(25.6, 85.1)",25.651394,85.01014
ST. TERESA'S SCHOOL,BIHAR,"ALIGANJ, NEAR A.I.R. TRANSMISSION KHIRIBAND P. O. BHAGALPUR-821 005",BHAGALPUR,"(25.25, 87.0)",25.342944,87.095418
ST. JOSEPH'S SCHOOL,BIHAR,PAKARTALLA KAHALGAON BHAGALPUR-813 203,BHAGALPUR,"(25.25, 87.0)",25.189524,86.914044
ST. M.G. PUBLIC SCHOOL,BIHAR,MITHAPUR KANNU LAL ROAD PATNA-800 001,PATNA,"(25.6, 85.1)",25.692896,85.055886
JESUS AND MARY ACADEMY,BIHAR,HAJIGANJ KAIMASHIKOH PATNA-800 008,PATNA,"(25.6, 85.1)",25.6098,85.058973
ST. XAVIER'S HIGH SCHOOL,BIHAR,WEST GANDHI MAIDAN GANDHI MAIDAN MARG PATNA-800 001,TONSE WEST,"(13.3968, 74.7069)",13.420842,74.748898
CARMEL HIGH SCHOOL,BIHAR,BAILEY ROAD BAILEY ROAD PATNA-800 001,PATNA,"(25.6, 85.1)",25.615278,85.188935
MADONNA ENGLISH SCHOOL,BIHAR,ALALPATTI - P.O. D.M.C. DARBHANGA-846 003,DARBHANGA,"(26.17, 85.9)",26.213987,85.8109
RED CARPET HIGH SCHOOL,BIHAR,ROAD NO. 2 - A RAJENDRA NAGAR PATNA-800 016,NAWA NAGAR NIZAMAT,"(26.2895, 84.9351)",26.221167,84.99068
ST. JOSEPH'S SCHOOL,BIHAR,JHAJHA JHAJHA JAMUI-811 308,JAMUI,"(24.92, 86.22)",24.948959,86.252909
ST. PAUL'S SCHOOL,BIHAR,KARNGARH C.T.S. ROAD NATHNAGAR BHAGALPUR-812 004,BHAGALPUR,"(25.25, 87.0)",25.24781,87.097446
ST. JOSEPH'S SCHOOL,BIHAR,JAGATPUR JAGATPUR BANKA-813 102,JAGATPUR,"(26.3738, 86.0509)",26.451746,86.14047
HOLY FAMILY SCHOOL,BIHAR,BANSITIKER P.O. BISHANPUR JICHHO BHAGALPUR-813 210,BHAGALPUR,"(25.25, 87.0)",25.28375,87.079351
ST. JOSEPH'S CONVENT HIGH SCHOOL,BIHAR,JETHULI PATNA-803 201,PATNA,"(25.6, 85.1)",25.530749,85.17909
ST. JOSEPH'S SCHOOL,BIHAR,MAHISOURI CHOWK SIKANDRA ROAD JAMUI-811 307,SIKANDRA,"(24.9564, 86.0344)",24.893425,86.018578
THE BISHOP'S HERITAGE SCHOOL  ,BIHAR,"P.O. & VILLAGE - ANANDPUR, BESIDE HOMEGUARD CAMP, PATNA-801 103",ANANDPUR,"(21.2141, 86.1249)",21.178415,86.024913
LD DON BOSCO SCHOOL,BIHAR,SWAMI VIVEKANAND PATH OPP TOWN HALL MANIK SARKAR BHAGALPUR-812001,BHAGALPUR,"(25.25, 87.0)",25.261925,87.058978
DON BOSCO SCHOOL,BIHAR,MAHANT NAGAR KATIHAR-854 105,KATIHAR,"(25.53, 87.58)",25.505795,87.496158
CARMEL SCHOOL,BIHAR,CHURAMANPUR VILLAGE BUXAR-802 116,BUXAR,"(25.5605, 83.9805)",25.490923,84.080249
THE KIRK VIEW SCHOOL,BIHAR,CHURCH ROAD SOUTH GANDHI MAIDAN GAYA-823001,BUDDH GAYA,"(24.6981, 84.9869)",24.691389,85.046726
RAJKUMAR COLLEGE,CHATTISGARH,G.E.ROAD G.E. ROAD RAIPUR-492 013,RAIPUR,"(21.25, 81.63)",21.196917,81.543676
SALEM ENGLISH SCHOOL,CHATTISGARH,P.O. BOX NO. 46 RAIPUR-492 001,RAIPUR,"(21.25, 81.63)",21.306367,81.711262
CARMEL CONVENT SENIOR SECONDARY SCHOOL,CHATTISGARH,RAIGARH-496 001,RAIGARH,"(21.8, 83.3)",21.88873,83.224421
ST. XAVIER'S HIGH SCHOOL,CHATTISGARH,NEAR AVANTI VIHAR COLONY LABHANDI P.O. RAVIGRAM RAIPUR-492 006,RAIPUR BUZURG,"(25.7118, 85.6956)",25.703331,85.634093
