name,state,city,address,city_location,latitude,longitude
CHRIST INTERNATIONAL SCHOLL,MAHARASHTRA,CHENNAI,"SURVEY NO. 41, TALEGOAN VILLAGE, LATUR - NANDED HIGH WAY, AHMEDPUR,","(13.0825, 80.275)",13.12286,80.353845
NRI PUBLIC SCHOOL,PUNJAB,PANCHKULA,MUBARIKPUR - BARWALA ROAD VILLAGE SUNDRAN TEHSIL DERA BASSI DISTRICT MOHALI,"(30.74, 76.8)",30.790187,76.718184
AISHWARAYA PUBLIC SCHOOL,KERALA,TRIVANDRUM,KALAKKODE POOTHAKULAM PO KOLLAM DISTT KERALA,"(8.5241, 76.9366)",8.597908,76.845465
NEW PRATHAM PUBLIC SCHOOL,KARNATAKA,CHENNAI,"NO. 3, 2ND CROSS, 2ND MAIN,PAI LAYOUT, K R PURAM, BANGALORE-560016","(13.0825, 80.275)",13.045607,80.257423
JYOTI MODEL SCHOOL,DELHI,DELHI,"C - 18 ,  ACHARYA KRIPLANI ROAD","(28.61, 77.23)",28.661313,77.222135
S.B.I.SCHOOL,UTTAR PRADESH,DEHRADUN,VILL BAGPUR POST BILASPUR,"(30.345, 78.029)",30.444714,78.116299
NATIONAL CONVENT ENGLISH MEDIUM HIGHER SECONDARY SCHOOL,CHATTISGARH,BHUBANESWAR,"BHILAI - 3 , UMDA ROAD .P.O-BHILAI, DISTT DURG, CHHATTISGARH","(20.27, 85.84)",20.364516,85.800058
THE KRISHNA VALLEY SCHOOL,MADHYA PRADESH,AJMER,"VILL-BAMULIYA GAJJU, PIPALIYA ROAD","(26.4499, 74.6399)",26.53811,74.590062
AL-NOOR INTERNATIONAL SCHOOL,FOREIGN SCHOOLS,DELHI,P.O. BOX 85 MANAMA BAHRAIN,"(28.61, 77.23)",28.553968,77.28594
SESOMU SCHOOL,RAJASTHAN,AJMER,NATIONAL HIGHWAY NO 11 W SRI DUNGARGARH BIKANER RAJASTHAN,"(26.4499, 74.6399)",26.548248,74.661096
ODISHA ADARSHA VIDYALAYA,ODISHA,BHUBANESWAR,"AT/PO: BHAINSA, BLOCK-PATNAGARH, DISTT. BALANGIR 767 048 , ODISHA","(20.27, 85.84)",20.360887,85.767552
SUPREME PUBLIC SCHOOL,KARNATAKA,CHENNAI,"CA-25, DATTAGALLI, III STAGE, MYSORE.","(13.0825, 80.275)",13.178163,80.210776
NAV JEEVAN MISSION SCHOOL,UTTAR PRADESH,ALLAHABAD,ASHISHNAGAR SALEMPUR ROAD DEORIA,"(25.4358, 81.8463)",25.355635,81.795509
KENDRIYA VIDYALAYA NO 2,WEST BENGAL,BHUBANESWAR,A F S KALAI KUNDA WEST BENGAL,"(20.27, 85.84)",20.224341,85.938126
"INDUS PUBLIC SCHOOL,",HARYANA,PANCHKULA,"DHAND ROAD, NEAR SUNCITY, KAITHAL","(30.74, 76.8)",30.783732,76.792355
KENDRIYA VIDYALAYA,TELANGANA,CHENNAI,"UNIVERSITY OF HYDERABAD CAMPUS, C.R. RAO ROAD, GACHIBOWLI, HYDERABAD, ANDHRA PRADESH","(13.0825, 80.275)",13.105248,80.231808
VIGNESH INTERNATIONAL SCHOOL,TAMILNADU,CHENNAI,"MELPUTHIYANDAL,TIRUVANNAMALAI","(13.0825, 80.275)",13.130207,80.296027
"SMT. JANKI DEVI MANDELIA CO EDUCATIONAL ENGISH MEDIUM SCHOOL,PILANI",RAJASTHAN,AJMER,"CHIRAWA, PILANI, JHUNJHUNU","(26.4499, 74.6399)",26.528729,74.550289
SARANG CONVENT SCHOOL,UTTAR PRADESH,DEHRADUN,"MADABAD ROAD, SEOHARA BIJNOR UTTAR PRADESH","(30.345, 78.029)",30.308989,77.983065
PRESENTATION CONVENT HIGH SCHOOL,JAMMU & KASHMIR,PANCHKULA,"GANDHI NAGAR, JAMMU, JAMMU & KASHMIR","(30.74, 76.8)",30.835352,76.721599
S R DIGI SCHOOL,ANDHRA PRADESH,CHENNAI,ZINC SMELTER POST VISAKHAPATNAM ANDHRA PRADESH,"(13.0825, 80.275)",13.109381,80.359711
SILVERMOUNT INTERNATIONAL SCHOOL,KERALA,TRIVANDRUM,"SILVER HILLS, KAKOOTH,PERINTHALMANNA, MALAPPURAM DIST.","(8.5241, 76.9366)",8.552339,77.024024
LAKSHYA SINGAPORE INTERNATIONAL SCHOOL,UTTAR PRADESH,DEHRADUN,"LAKSHYA CAMPUS, 3KM MILE STONE,  MORADABAD-HARIDWAR STATE HIGHWAY,BAGWARA","(30.345, 78.029)",30.340245,77.949452
GOVT  SENIOR SECONDARY SCHOOL,ANDAMAN & NICOBAR,CHENNAI,KISHORI NAGAR NORTH ANDAMAN A & N ISLANDS,"(13.0825, 80.275)",13.173778,80.342111
MODERN INDIAN SCHOOL,FOREIGN SCHOOLS,DELHI,CHOBHAR G P O NO 1497 KATHMANDU NEPAL C/O FIRST SECY EMBASSY OF INDIA KATHMANDU NEPAL,"(28.61, 77.23)",28.586951,77.315688
ANAND VIDYA VIHAR,GUJARAT,AJMER,"HAARINAGAR SOCIETY GOTRI ROAD VODODARA, GUJARAT","(26.4499, 74.6399)",26.389749,74.670144
SWAMI PRANAVANANDA VIDYA MANDIR,UTTARAKHAND,DEHRADUN,"UKHIMATH, DIST. RUDRAPRAYAG, UTTARAKHAND","(30.345, 78.029)",30.401252,78.002943
TATHANGCHEN SECONDARY SCHOOL,SIKKIM,GUWAHATI,TATHANGCHEN PO- RAJBHAWAN GANGTOK SIKKIM,"(26.1722, 91.7458)",26.158659,91.693967
VIKAS THE CONCEPT SCHOOL,TELANGANA,CHENNAI,BACHUPALLY MIYARPUR HYDERABAD,"(13.0825, 80.275)",13.181258,80.345842
CHINMAYA INTERNATIONAL RESIDENTIAL SCHOOL,TAMILNADU,CHENNAI,NALLUR VAYAL POST SIRUVANI ROAD COIMBATORE TAMIL NADU,"(13.0825, 80.275)",13.144826,80.224519
SACRED HEART SR. SEC. SCHOOL,RAJASTHAN,AJMER,1-C-7 TALWANDI,"(26.4499, 74.6399)",26.520084,74.595338
BANGALORE SCOTTISH SCHOOL,KARNATAKA,CHENNAI,"24-39, SHREYAS COLONY, J P NAGAR 7TH PHASE, KOTHANOOR","(13.0825, 80.275)",13.020263,80.195784
JAWAHAR NAVODAYA VIDYALAYA,ASSAM,GUWAHATI,VILLAGE & PO- ALOMGANJ PARTIX DHUBRI ASSAM 78339,"(26.1722, 91.7458)",26.142523,91.716401
MAA VAISHNO MODERN PUBLIC SCHOOL,UTTAR PRADESH,ALLAHABAD,"BRAHMNAGAR, ROBERTSGANJ, SONEBHADRA,","(25.4358, 81.8463)",25.441148,81.926474
KENDRIYA VIDYALAYA,WEST BENGAL,BHUBANESWAR,RAIGANJ BN BSF GOVINDPUR PO MIRUAL UTTAR DINAJPUR WEST BENGAL,"(20.27, 85.84)",20.359768,85.761269
L.P.SAVANI INTERNATIONAL SCHOOL,GUJARAT,AJMER,"T.P.-10,L.P.SAVANI GAURAVPATH ROAD, PAL, ADAJAN,","(26.4499, 74.6399)",26.395119,74.730944
VIDYA MANDIR SR SECONDARY SCHOOL,UTTARAKHAND,DEHRADUN,SECTOR V BHEL RANIPUR HARDWAR UTTARANCHAL,"(30.345, 78.029)",30.439591,78.069774
GOVT SEC SCHOOL,SIKKIM,GUWAHATI,SINGTAM EAST SIKKIM,"(26.1722, 91.7458)",26.129475,91.666845
SRI VENKATESHWARA INTERNATIONAL SCHOOL,TAMILNADU,CHENNAI,"SRI VIDHYA NAGAR,OTHAKUTHIRAI (PO),GOBI T.KERODE-(PERIYAR)-D.T TAMILNADU","(13.0825, 80.275)",13.06392,80.361844
KENDRIYA VIDYALAYA,KARNATAKA,CHENNAI,"C V RAMAN NAGAR D.R.D.O COMPLEX C V RAMAN NAGAR , BANGALORE KARNATAKA","(13.0825, 80.275)",13.040134,80.307079
GOVT HIGH SCHOOL,CHANDIGARH,PANCHKULA,SECT 38B CHANDIGARH,"(30.74, 76.8)",30.789292,76.7652
SKY VALLEY INTERNATIONAL SCHOOL,UTTAR PRADESH,ALLAHABAD,"POKHARPUR, KANPUR NAGAR","(25.4358, 81.8463)",25.462764,81.750971
TARAPADA SARANGI DAV PUBLIC SCHOOL,JHARKHAND,PATNA,"NH - 33, BAHARAGORA","(25.6, 85.1)",25.600292,85.191594
MORNING STAR SCHOOL,MADHYA PRADESH,AJMER,NEW KRISHNA NAGAR GOLE KA MANDIR GWALIOR MADHYA PRADESH,"(26.4499, 74.6399)",26.514599,74.641638
"CAMBRIDGE CONVENT HIGH SCHOOL, KOT ISE KHAN",PUNJAB,PANCHKULA,V.P.O.KOT ISE KHAN DISTT. MOGA,"(30.74, 76.8)",30.80211,76.786579
MUBARAK ENGLISH SCHOOL,KERALA,TRIVANDRUM,MANJERI COLLEGE PO MALAPPURAM KERALA,"(8.5241, 76.9366)",8.59949,76.949796
KENDRIYA VIDYALAYA,MAHARASHTRA,CHENNAI,W C L.  DURGAPUR DIST CHANDRAPUR MAHARASTRA,"(13.0825, 80.275)",12.996953,80.26938
GOVT HR SEC SCHOOL,ARUNACHAL PRADESH,GUWAHATI,TAWANG DT- TAWANG ARUNACHAL PRADESH,"(26.1722, 91.7458)",26.182939,91.710201
GOVT BOYS SEC SCHOOL,DELHI,DELHI,MUSTAFABAD DELHI,"(28.61, 77.23)",28.546283,77.241301
GURU TEGH BAHADUR PUBLIC SCHOOL,DELHI,DELHI,"BEHIND M BLOCK C-19 ZONE  MODEL TOWN, DISTT NORTH WEST DELHI","(28.61, 77.23)",28.692836,77.252125
RND EDUCATION CENTRE,UTTAR PRADESH,ALLAHABAD,"184 HATHIPUR MOD, MAHARAJPUR","(25.4358, 81.8463)",25.471072,81.944707
GOVT BOYS SEC SCHOOL,DELHI,DELHI,MANDOLI ROAD ASHOK NAGAR SHAHDARA DELHI,"(28.61, 77.23)",28.682477,77.260181
NARMADA VALLEY INTERNATIONAL SCHOOL,MADHYA PRADESH,AJMER,BABAI TOLL NAKA HOSHANGABAD DIST.HOSHANGABAD,"(26.4499, 74.6399)",26.384481,74.738719
MANSAROWAR VIDYALAYA,CHATTISGARH,BHUBANESWAR,JANJGIRI-BMY,"(20.27, 85.84)",20.2193,85.90912
ADARSH VIDYA MANDIR,RAJASTHAN,AJMER,"SHANKAR VIDYA PEETH, MOUNT ABU, RAJASTHAN","(26.4499, 74.6399)",26.418811,74.543862
DEVAGIRI CMI PUBLIC SCHOOL,KERALA,TRIVANDRUM,DEVAGIRI COLLEGE KOZHIKODE DISTT KERALA,"(8.5241, 76.9366)",8.613001,76.926493
MANEERS VISHWASHANTI GURUKUL NIVASI SCHOOL,MAHARASHTRA,CHENNAI,"AT.POST WAKHARI,AKLUJ-PANDHARPUR ROAD,DIST SOLAPUR","(13.0825, 80.275)",13.08333,80.32594
KENDRIYA VIDYALAYA NO.4,RAJASTHAN,AJMER,JHOTWARA ARMY AREA JAIPUR CANTT RAJASTHAN,"(26.4499, 74.6399)",26.486959,74.562081
UNIVERSAL PUBLIC SCHOOL RAMANAGARA,KARNATAKA,CHENNAI,111/2 B.M ROAD ARCHARKARHALLIRAMANAGARA,"(13.0825, 80.275)",13.056955,80.24158
R B C CHILDREN ACADEMY,UTTAR PRADESH,ALLAHABAD,KHARUPUR NARAYANPUR CHAUBEYPUR,"(25.4358, 81.8463)",25.405969,81.907706
MAHARANA PRATAP MODEL PUBLIC SCHOOL,DELHI,DELHI,"SUKKAR BAZAR ROAD, HARSH VIHAR, DELHI-93","(28.61, 77.23)",28.61802,77.138795
SREE KUMARAMANGALAM PUBLIC SCHOOL .,KERALA,TRIVANDRUM,KUMARAKOM P.O. KOTTAYAM DISTT.,"(8.5241, 76.9366)",8.607917,77.026946
M.K. SHETTY SCHOOL,KARNATAKA,CHENNAI,"KALLABETTU VILLAGE MOODABIDRI MANGALORE DASGUBA KANNADA, KARNATAKA","(13.0825, 80.275)",13.130541,80.296812
CITY PUBLIC SCHOOL,UTTAR PRADESH,DEHRADUN,"E 3 SECTOR 61 NOIDA, GAUTAM BUDH NAGAR, UTTAR PRADESH","(30.345, 78.029)",30.250063,78.054986
HRD SCHOOL OF EXCELLENCE,TELANGANA,CHENNAI,"DINDI ROAD, DEVARAKONDA","(13.0825, 80.275)",13.018311,80.307543
BHAGAT SINGH PUBLIC SCHOOL,HARYANA,PANCHKULA,V.P O NIGDHU,"(30.74, 76.8)",30.839647,76.712157
JSM PUBLIC SCHOOL,UTTAR PRADESH,ALLAHABAD,"BANKHADIA, FATEHGARH, FARRUKHABAD","(25.4358, 81.8463)",25.528413,81.906833
D A V PUBLIC SCHOOL,CHATTISGARH,BHUBANESWAR,SECL BARTUNGA CHIRIMIRI DISTT KOREA CHHATTISGARH,"(20.27, 85.84)",20.301945,85.759729
"PODAR INTERNATIONAL SCHOOL, VIJAY NAGAR, INDORE",MADHYA PRADESH,AJMER,"SCHEME 74, SECTOR A, VIJAY NAGAR, INDORE","(26.4499, 74.6399)",26.491274,74.544091
SARVODAYA BAL VIDYALAYA NO I,DELHI,DELHI,MADIPUR NEW DELHI,"(28.61, 77.23)",28.659032,77.187923
LUCKNOW PUBLIC SCHOOL,UTTAR PRADESH,ALLAHABAD,"SECTOR-B, PRIYADARSHINI NAGAR YOJNA, UNNAO","(25.4358, 81.8463)",25.433249,81.867603
JAIN SR SEC SCHOOL,DELHI,DELHI,DARYAGANJ NEW DELHI,"(28.61, 77.23)",28.661144,77.266906
JAWAHAR NAVODAYA VIDYALAYA,ANDHRA PRADESH,CHENNAI,KRISHNAPURAM VILL & PO MARRIPADU MANDAL  NELLORE DISTT. ANDHRA PRADESH,"(13.0825, 80.275)",13.112108,80.254699
KENDRIYA VIDYALAYA,MADHYA PRADESH,AJMER,SANCHI ROAD VIDISHA MADHYA PRADESH,"(26.4499, 74.6399)",26.413444,74.726926
K.M.PUBLIC SCHOOL,UTTAR PRADESH,ALLAHABAD,"KIRAWALI,AGRA","(25.4358, 81.8463)",25.51968,81.849987
JAWAHAR NAVODAYA VIDYALAYA,KERALA,TRIVANDRUM,CHETTACHAL PO VITHURA THIRUVANTHAPURAM KERALA,"(8.5241, 76.9366)",8.445299,76.936767
ALCHEMIST ACADEMY,UTTARAKHAND,DEHRADUN,"KHETALSANDA KHAM, KHATIMA, U.S.NAGAR","(30.345, 78.029)",30.351311,78.013935
TAGORE SR. SEC. SCHOOL,HARYANA,PANCHKULA,TAGORE SR. SEC. SCHOOL.V.P.O.SANDHIRTEH.NILOKHRI DISTT. KARNAL,"(30.74, 76.8)",30.762799,76.701336
"RAJKIYA PRATIBHA VIKAS VIDYALAYA,",DELHI,DELHI,"PHASE-II, SECT-21, ROHINI, DELHI-110086","(28.61, 77.23)",28.671805,77.177842
SHEMFORD SCHOOL,UTTAR PRADESH,ALLAHABAD,"NATWA ROAD, DISTT MIRZAPUR, UTTAR PRADESH","(25.4358, 81.8463)",25.422608,81.889581
CAMBRIDGE INTERNATIONAL SCHOOL,PUNJAB,PANCHKULA,KARIHA BANGA NAWANSHAHR ROAD,"(30.74, 76.8)",30.651333,76.726057
ALPHONSA CENTRAL SCHOOL,KERALA,TRIVANDRUM,"EDAT P.O, PAYYANNUR, KANNUR DISTRICT, PIN- 670 327","(8.5241, 76.9366)",8.576949,76.869085
BLACK DIAMOND PUBLIC SCHOOL,ODISHA,BHUBANESWAR,POST BOX NO-21 BRAJRAJNAGAR,"(20.27, 85.84)",20.309915,85.797904
KIKANI VIDHYA MANDIR,TAMILNADU,CHENNAI,"NO.9, RANGASWAMY ROAD, R.S.PURAM, COIMBATORE, TAMILNADU","(13.0825, 80.275)",13.105782,80.260459
LITTLE FLOWER HOUSE SENIOR SECONDARY SCHOOL,UTTAR PRADESH,ALLAHABAD,"N 1/12 NAGWA,VARANASI","(25.4358, 81.8463)",25.393215,81.769766
CORDOVA PUBLIC SCHOOL,KERALA,TRIVANDRUM,CORDOVA NAGAR NH BY PASS POONTHURA PO THIRUVANTHAPURAM KERALA,"(8.5241, 76.9366)",8.459294,76.864041
MILTON PUBLIC SCHOOL,UTTAR PRADESH,ALLAHABAD,ASHOK VIHAR KEDAR NAGAR SHAHGANJ  AGRA UTTAR PRADESH,"(25.4358, 81.8463)",25.514937,81.844082
R.K.S.D. PUBLIC SCHOOL,HARYANA,PANCHKULA,AMBALA ROAD KATHAL HARYANA,"(30.74, 76.8)",30.782135,76.865748
JAWAHAR NAVODAYA VIDYALAYA,UTTAR PRADESH,ALLAHABAD,NAGIL JALALPUR DISTT KANPUR DEHAT UTTAR PRADESH,"(25.4358, 81.8463)",25.498658,81.75817
JAWAHAR NAVODAYA VIDYALAYA,BIHAR,PATNA,"PO BALESARA, VIA MIRGANJ,  GOPALGANJ BIHAR","(25.6, 85.1)",25.521272,85.113935
S.K.P. VIDYA VIHAR,BIHAR,PATNA,MANDROZA JAGDISHPUR BHAGALPUR BIHAR,"(25.6, 85.1)",25.52833,85.152917
DIVINE INTERNATIONAL SCHOOL,UTTAR PRADESH,DEHRADUN,"VILL- GADA,6TH KM STONE , MATKHERA ROAD , BILASPUR , POST&TEHSIL BILASPUR, DISTT- RAMPUR , UTTARPRADESH","(30.345, 78.029)",30.321903,77.971092
LORD MAHAVIR JAIN PUBLIC SENIOR SECONDARY SCHOOL,PUNJAB,PANCHKULA,"LORD MAHAVIR JAIN PUBLIC SENIOR SECONDARY SCHOOL, NEAR RAILWAY CROSSING, DERA BASSI, SAS NAGAR, DISTT MOHALI, PUNJAB","(30.74, 76.8)",30.733198,76.887466
SWAMI VIVEKANAND INTERNATIONAL SCHOOL,MAHARASHTRA,CHENNAI,"NEAR CHINMAY MISSION, CANAL ROAD, PAWNAR","(13.0825, 80.275)",13.181145,80.256001
KENDRIYA VIDYALAYA,ASSAM,GUWAHATI,B R P L BONGAIGAON DHALIGAON DT- KOKRAJHAR ASSAM,"(26.1722, 91.7458)",26.118687,91.67833
INDIAN EXCELLENT PVT. SCHOOL,FOREIGN SCHOOLS,DELHI,"PO BOX 40194, SHARJAH,U.A.E.","(28.61, 77.23)",28.660374,77.201036
HARYANA PUBLIC SCHOOL,HARYANA,PANCHKULA,"NANGAL CHOUDHARY ROAD, DISTT MAHINDERGARH, HARYANA","(30.74, 76.8)",30.730095,76.767152
GAURAV AWASIYA UCHYA VIDALAY,JHARKHAND,PATNA,"BANSHIIH,CHAS,","(25.6, 85.1)",25.609488,85.058411
ARMY PUBLIC SCHOOL,UTTAR PRADESH,ALLAHABAD,BABINA CANTT DISTT JHANSI UTTAR PRADESH,"(25.4358, 81.8463)",25.431929,81.811446
"VJ INTERNATIONAL SCHOOL,",BIHAR,PATNA,"LODHIPUR, GORADIH ROAD, BHAGALPUR","(25.6, 85.1)",25.551046,85.130165
M R CITI PUBLIC SCHOOL,PUNJAB,PANCHKULA,BALACHAUR DISTT NAWANSHAR PUNJAB,"(30.74, 76.8)",30.716056,76.840162
LATE M.L. CHAURASIA PUBLIC SCHOOL,MADHYA PRADESH,AJMER,"KHAMA, GUR, REWA","(26.4499, 74.6399)",26.548199,74.57675
VIDYA NIKETAN,BIHAR,PATNA,"P.O. SARAI MANER, DANAPUR, PATNA, BIHAR","(25.6, 85.1)",25.518216,85.069783
SILVER VATIKA PUBLIC SCHOOL,PUNJAB,PANCHKULA,"BHIKHI-BARNALA ROAD, SAMAON ( DISTT. MANSA)","(30.74, 76.8)",30.648477,76.831181
PARAM PUBLIC SCHOOL,UTTAR PRADESH,DEHRADUN,"6,KM,NAJIBABAD ROAD","(30.345, 78.029)",30.277069,78.064786
AMARNATH VIDYA ASHRAM SR SEC PUBLIC SCHOOL,UTTAR PRADESH,DEHRADUN,"DISTT MATHURA, UTTAR PRADESH","(30.345, 78.029)",30.423119,78.120795
VENUS PUBLIC SCHOOL,MADHYA PRADESH,AJMER,ANAND NAGAR JIWAJI GANJ LASHKAR GWALIOR MADHYA PRADESH,"(26.4499, 74.6399)",26.490918,74.64423
MAHARISHI VIDYA MANDIR,HARYANA,PANCHKULA,SHEIKH MAJRA AMBALA HARYANA,"(30.74, 76.8)",30.79114,76.734314
ST. MARY'S HR. SEC. SCHOOL,MADHYA PRADESH,AJMER,"NARMADA ROAD, BEHIND GOVT. COLLEGE, BARWAHA","(26.4499, 74.6399)",26.411409,74.54253
S S GYAN BHARTI,BIHAR,PATNA,"AMBEDKAR CHOWK , BEHTA , BENIPATTI","(25.6, 85.1)",25.644112,85.151527
DEVSTHALY VIDYAPEETH,UTTAR PRADESH,ALLAHABAD,DEVSTHALY P.O. CHILKAHAR DISTT. BALLIA UTTAR PRADESH,"(25.4358, 81.8463)",25.530038,81.941041
POLICE DAV PUBLIC SCHOOL,PUNJAB,PANCHKULA,JALANDHAR CANTT PUNJAB,"(30.74, 76.8)",30.720482,76.871808
SREE ARUNODAYA VIDYA NIKETHAN,KERALA,TRIVANDRUM,DOWN HILL MALAPPURAM KERALA,"(8.5241, 76.9366)",8.575288,76.845922
LHL CBSE SCHOOL,TAMILNADU,CHENNAI,"LHL NAGAR,VISVASAPURAM,THOVALAI","(13.0825, 80.275)",13.091126,80.344059
JAWAHAR NAVODAYA VIDYALAYA,HIMACHAL PRADESH,PANCHKULA,PANDOH MANDI DISTT HIMACHAL PRADESH,"(30.74, 76.8)",30.654626,76.762597
SHIV SHAKTI LUXMI MEMORIAL HIGH SCHOOL,HARYANA,PANCHKULA,"CHOPRA GARDEN YAMUNA NAGAR, HARYANA-135001","(30.74, 76.8)",30.820398,76.838645
BHAGWAT VIDYAPEETH,BIHAR,PATNA,RUSSI CHHAWNI BHAGWAN BAZAR CHHAPRA SARAN BIHAR,"(25.6, 85.1)",25.526268,85.073955
MOTHER INDIA PUBLIC SCHOOL,UTTAR PRADESH,ALLAHABAD,JALALPUR - SHOBHAPUR ROAD MURADNAGAR GHAZIABAD,"(25.4358, 81.8463)",25.365185,81.83793
GOVT HIGHER SEC SCHOOL,CHATTISGARH,BHUBANESWAR,BALKO KORBA CHHATTISGARH,"(20.27, 85.84)",20.30784,85.880912
BANSIDHAR MEMORIAL GIRLS SR SEC SCH,DELHI,DELHI,PAHARI DHIRAJ DELHI,"(28.61, 77.23)",28.619206,77.188633
VISHNU SCHOOL,ANDHRA PRADESH,CHENNAI,"VISHNUPURAM , KOVVADA , BHIMAVARAM, WEST GODAVARI DISTRICT ANDHRA PRADESH","(13.0825, 80.275)",13.141693,80.205048
YMCA CENTENARY SCHOOL,UTTAR PRADESH,ALLAHABAD,13 SAROJINI NAIDU MARG ALLAHABAD UTTAR PRADESH,"(25.4358, 81.8463)",25.497755,81.793832
JABAL FARASAN INTERNATIONAL SCHOOL,FOREIGN SCHOOLS,DELHI,"P.O.BOX-103,RABEGH, JEDDAH (KSA)","(28.61, 77.23)",28.685818,77.163794
GOVT GIRLS SR SEC SCHOOL,DELHI,DELHI,M B ROAD NEW DELHI,"(28.61, 77.23)",28.56099,77.204664
ST. SOLDIER ELITE CONVENT SCHOOL CHAWINDA DEVI,PUNJAB,PANCHKULA,VPO CHAWINDA DEVI,"(30.74, 76.8)",30.641185,76.84016
CH AJAB SINGH MEMORIAL PUBLIC SCHOOL,UTTAR PRADESH,DEHRADUN,BHOURA KALAN MUZAFARNAGAR UTTAR PRADESH,"(30.345, 78.029)",30.402002,77.99203
SAI INTERNATIONAL SCHOOL,ODISHA,BHUBANESWAR,"5 A,CHANDAKA INDUSTRIAL ESTATE INFOCITY ROAD","(20.27, 85.84)",20.25636,85.799028
S G INTERNATIONAL PUBLIC SCHOOL,KARNATAKA,CHENNAI,8TH MAIN SARASWATHIPURAM MAHALAXMI LAYOUT BANGALORE KARNTAKA,"(13.0825, 80.275)",13.08103,80.206795
BAHMAN PUBLIC SCHOOL,UTTAR PRADESH,DEHRADUN,"SAMBHAL MORADABAD ROAD, DISTT MORADABAD,UTTAR PRADESH-244301","(30.345, 78.029)",30.408465,78.058849
SRI SRI RAVISHANKAR VIDYA MANDIR,KERALA,TRIVANDRUM,"MARUTHANKUZHY, KANJIRAMPARA P.O., THIRUVANANTHAPURAM, 695030","(8.5241, 76.9366)",8.52265,76.919946
VIVEKANANDA KENDRA VIDYALAYA,ASSAM,GUWAHATI,EAST CHOWKIDINGEE DIBRUGARH  ASSAM,"(26.1722, 91.7458)",26.129681,91.650729
TIKA RAM MODEL SCHOOL,HARYANA,PANCHKULA,WEST RAM NAGGAR,"(30.74, 76.8)",30.684567,76.78112
"MOUNT LITERA ZEE SCHOOL, BARAUT",UTTAR PRADESH,DEHRADUN,"SAHAPUR BADOLI , DELHI SAHARANPUR ROAD","(30.345, 78.029)",30.295773,78.078869
N P BOYS MODEL SEC SCHOOL,DELHI,DELHI,BALMIKI BASTI NEW DELHI,"(28.61, 77.23)",28.706863,77.179026
BHARTIYA VIDYA BHAVAN'S,GUJARAT,AJMER,GIPCL ACADEMY DISTT SURAT GUJARAT,"(26.4499, 74.6399)",26.389165,74.593118
SHRI GURU RAM RAI PUBLIC SCHOOL,UTTARAKHAND,DEHRADUN,VILL. & P.O.:- SAHASPUR,"(30.345, 78.029)",30.382076,77.955096
GOVT. SEC SCHOOL,SIKKIM,GUWAHATI,BERMIOK MARTAM GYALSHING WEST SIKKIM,"(26.1722, 91.7458)",26.20574,91.651704
DELHI PUBLIC SCHOOL,JAMMU & KASHMIR,PANCHKULA,"MANALI ROAD, CHOGLAMSAR, NEAR ITBP, LEH LADAKH, JAMMU & KASHMIR-194101","(30.74, 76.8)",30.730742,76.751217
